id,message_size,actual rtt,rtt,min_rtt,rttvar,cwnd,delivery_rate
7277,2810000,283706,5435,56,5377,831881,16178971
9342,3330000,377772,11603,71,18535,199308,40530652
10336,3580000,212856,4150,129,4722,266223,30912942
1956,1480000,77490,3402,11,3700,455462,25135321
10576,3640000,287915,3738,129,4183,905844,14175929
11826,3950000,327364,4444,78,4276,1145345,19980414
11891,3970000,334990,3075,78,3405,196608,49618443
417,1100000,86511,6722,11,5342,872126,11765503
10825,3700000,439319,7148,101,6781,1339259,11744766
7400,2850000,190021,4261,56,4216,1095032,20064547
3348,1830000,98527,3793,70,4059,924938,15697802
3745,1930000,100730,4355,70,3522,1008722,19123133
6250,2560000,123036,3921,56,3048,812074,18222021
6859,2710000,142746,3898,56,3123,954804,19810647
7062,2760000,171557,4502,56,3799,1233738,19155291
10097,3520000,288562,6242,71,7838,1087910,3139631
3170,1790000,486896,11380,70,8854,2133352,2928767
6989,2740000,163100,4179,56,4231,1193912,20322205
7470,2860000,151632,4616,97,4764,1108802,18845681
8754,3180000,202061,9352,77,8389,1500492,14719910
9127,3280000,216820,3240,131,3240,917746,27076551
9152,3280000,285118,3394,131,3688,374144,10915096
9900,3470000,382714,6072,71,6390,1429711,14147837
10945,3730000,274687,3627,101,3108,995161,22608035
7428,2850000,219663,4419,97,4405,1148782,19722942
22,1000000,28404,2410,211,1060,541772,36751399
11046,3760000,272920,5247,101,4491,1008445,17570588
2865,1710000,151862,5436,70,5138,1481346,13514150
77,1010000,110325,656,139,342,196608,96689694
9488,3370000,202691,3740,71,2979,1001902,20362333
4074,2010000,600885,8223,70,7518,1059706,4611128
3870,1960000,253861,5941,70,4568,1688130,9387344
6569,2640000,271754,4057,56,4352,620446,19306548
8570,3140000,250309,4733,77,4242,1048578,18454925
4875,2210000,117967,5719,76,6443,523200,13255781
3535,1880000,96536,3863,70,3604,943222,21095310
5144,2280000,127829,6844,81,6264,1589736,17705695
8560,3140000,166674,4126,77,3717,1043862,21189263
858,1210000,59785,3598,11,3854,712150,22525871
2002,1500000,99728,11847,11,14881,450028,26184444
8259,3060000,298167,4486,77,3836,1136014,17129590
10932,3730000,348513,3931,101,3419,1112946,21027049
5307,2320000,421806,12024,81,9430,2124462,5388739
4494,2120000,110867,4334,76,4410,1006968,19122334
11568,3890000,1015841,8119,78,7252,2127924,10899120
11198,3790000,420714,8369,101,4072,1677749,558268
2700,1670000,130584,5791,11,6193,1197360,14689883
1016,1250000,141471,4317,11,3682,1366944,18497309
8586,3140000,224670,4082,77,3461,1096264,19645230
28,1000000,23077,1937,211,1337,411380,59830360
7880,2970000,197990,3186,77,3048,915776,22202573
5838,2450000,185763,3923,81,3993,1135018,22685729
5885,2470000,137268,4059,56,3884,997018,23112178
9672,3410000,775100,15582,71,20652,2146339,1046469
1378,1340000,87149,3764,11,3454,1009958,17684315
5254,2310000,120691,7379,81,6157,1558918,16792660
7965,2990000,201964,3875,77,3642,730504,7042656
4661,2160000,159833,5907,76,6501,1312524,14589493
10907,3720000,696943,9874,101,9665,1230777,14391298
3857,1960000,560322,3830,70,2640,506692,4313578
11578,3890000,251993,4845,78,4737,1335799,14652218
11484,3870000,520872,9670,78,8481,460373,12346434
8625,3150000,213830,4027,77,3647,1095222,20557035
1056,1260000,90029,4460,11,3877,995904,16657058
3136,1780000,132629,4019,70,4530,270138,38988877
7109,2770000,143354,4784,56,4133,1106268,21545856
493,1120000,85605,4598,11,4987,676494,11068005
5984,2490000,150336,5411,56,6726,1123689,4716345
2483,1620000,152337,3367,11,2595,953918,21441094
1761,1440000,93213,9931,11,11596,1644834,11918599
3194,1790000,93197,3585,70,3687,798602,16422659
3815,1950000,104587,3707,70,2726,1005362,20365153
7453,2860000,188459,4381,97,4557,1094582,19329298
7465,2860000,289556,5955,97,6185,1530336,14000555
9247,3310000,366526,4720,131,4848,796600,13333148
9,1000000,16345,1165,211,800,473660,63483116
3283,1820000,479515,14012,70,16436,211062,8439750
9060,3260000,492472,16616,131,22956,1489038,6765505
5597,2390000,245303,13225,81,13956,1108856,11659371
6190,2540000,134173,7716,56,10185,380768,21766655
10287,3570000,199571,5594,129,5516,1104738,18641490
11032,3750000,240227,4038,101,3314,1019128,19504416
4186,2040000,507764,8148,70,6517,1629848,12471423
510,1120000,301521,9875,11,12870,733724,10186712
5247,2310000,123792,3397,81,2749,1002614,17221524
6101,2520000,149899,3995,56,4179,853844,17032467
8296,3070000,171915,7425,77,7336,1260766,16463817
8778,3190000,196611,4183,77,4114,1081332,18937264
169,1040000,20865,1594,13,1049,446251,43235219
4488,2120000,621773,6513,76,7356,784348,10938411
9429,3350000,187507,6725,71,8094,1028570,22081569
2925,1730000,387240,6898,70,6426,1803796,11109082
2384,1590000,82337,3283,11,3052,972042,22476762
87,1020000,29789,979,139,714,196608,59001474
3222,1800000,94776,4579,70,4951,791094,25004951
11850,3960000,260813,7955,78,8069,1158107,17718941
10816,3700000,281020,3697,101,2904,1051760,16769692
64,1010000,18619,866,144,673,196608,85291954
3162,1790000,96119,4994,70,6661,519284,25684303
8818,3200000,192620,4454,77,4533,1053042,17669623
